381.01,4.7262e-05,5.1917e-10
382,7.98e-05,1.163e-09
382.98,0.00013206,2.5516e-09
384,0.00021814,5.6432e-09
384.99,0.00034722,1.1899e-08
386.01,0.00055119,2.5268e-08
386.99,0.00084519,5.1294e-08
387.98,0.0012721,1.0214e-07
389,0.0019072,2.0456e-07
389.98,0.0027676,3.9224e-07
391,0.0039988,7.564e-07
391.98,0.0056047,1.4e-06
393,0.0078101,2.6005e-06
393.98,0.010576,4.6447e-06
395,0.01423,8.32e-06
395.98,0.018638,1.4355e-05
397,0.024252,2.4851e-05
397.98,0.030755,4.1464e-05
399,0.03871,6.9325e-05
399.98,0.047588,0.00011202
401,0.058014,0.00018117
401.98,0.069199,0.00028377
403.03,0.082237,0.00045117
404.01,0.095198,0.00068494
405.02,0.10913,0.001039
406,0.12278,0.0015311
407.02,0.13674,0.0022539
407.99,0.14965,0.0032267
409.01,0.16203,0.004612
409.99,0.17266,0.0064221
411,0.18192,0.008923
412.01,0.18908,0.01222
412.99,0.1938,0.016343
414,0.19625,0.021789
414.98,0.19621,0.02838
416.02,0.1936,0.037148
417,0.18889,0.047168
418.01,0.18189,0.059669
418.99,0.17337,0.07392
420,0.16303,0.091149
421.01,0.15152,0.11099
422.01,0.1392,0.13348
422.98,0.12689,0.15765
424.02,0.11358,0.18615
425,0.10131,0.215
426,0.089156,0.24644
427,0.077591,0.27949
428,0.06682,0.31348
428.99,0.056998,0.34762
430,0.048055,0.38169
430.01,0.047913,0.38226
430.98,0.040262,0.41397
432.01,0.03312,0.44579
433.01,0.027147,0.47397
434,0.022055,0.49881
435,0.017711,0.51997
435.97,0.014212,0.53612
437.01,0.011095,0.5485
437.99,0.0087135,0.55506
439.01,0.0067196,0.55654
440,0.0051764,0.55283
441,0.003943,0.5441
441.99,0.0029806,0.53072
443,0.0022271,0.51286
443.98,0.0016647,0.49184
445.02,0.0012081,0.46594
445.99,0.00089141,0.43952
447,0.00064358,0.40999
447.98,0.00046621,0.38023
449.02,0.00032822,0.34791
450,0.00023403,0.31741
451.02,0.00016316,0.28605
451.99,0.00011478,0.25699
453.03,7.8421e-05,0.22751
454,5.4534e-05,0.20148
455,3.7197e-05,0.17636
456,2.5254e-05,0.15335
457,1.7015e-05,0.13231
457.99,1.1387e-05,0.11334
458.99,7.58e-06,0.096435
460.02,4.944e-06,0.081012
460.97,3.3024e-06,0.068434
462,2.1278e-06,0.056698
462.99,1.3842e-06,0.046973
464.01,8.8201e-07,0.038406
465,5.6681e-07,0.031397
466.02,3.5671e-07,0.025325
467.01,2.2684e-07,0.020451
467.99,1.4338e-07,0.016409
468.98,9.0202e-08,0.013091
470,5.5526e-08,0.010298
470.98,3.4531e-08,0.0081144
472,2.1008e-08,0.0063026
472.99,1.2937e-08,0.0049103
474.01,7.7887e-09,0.003769
474.99,4.7469e-09,0.0029028
