381.91,26.168
384.02,25.719
386.13,25.269
388.24,24.82
390.35,24.37
392.45,23.923
394.56,23.474
396.67,23.024
398.77,22.577
400.88,22.127
402.98,21.68
405.08,21.233
407.19,20.783
409.29,20.336
411.39,19.889
413.49,19.441
415.59,18.994
417.68,18.549
419.78,18.101
421.88,17.654
423.98,17.207
426.07,16.762
428.17,16.314
430.26,15.869
432.35,15.424
434.45,14.977
436.54,14.531
438.63,14.086
440.72,13.641
442.81,13.196
444.9,12.751
446.99,12.305
449.07,11.862
451.16,11.417
453.25,10.972
455.33,10.529
457.42,10.084
459.5,9.6406
461.58,9.1976
463.67,8.7524
465.75,8.3093
467.83,7.8663
469.91,7.4232
471.99,6.9801
474.06,6.5392
476.14,6.0961
478.22,5.6531
