381.91,1.2588e-05,1.1803e-12
384.02,5.3029e-05,9.8129e-12
386.13,0.00020783,7.5899e-11
388.24,0.00075779,5.4617e-10
390.35,0.00257,3.6565e-09
392.45,0.00807,2.2582e-08
394.56,0.02371,1.309e-07
396.67,0.06478,7.0598e-07
398.77,0.16399,3.5159e-06
400.88,0.38803,1.6418e-05
402.98,0.85115,7.0846e-05
405.08,1.7382,0.00028461
407.19,3.3143,0.00107
409.29,5.8644,0.00373
411.39,9.6606,0.01208
413.49,14.816,0.03645
415.59,21.155,0.10238
417.68,28.087,0.26653
419.78,34.772,0.6491
421.88,40.077,1.4717
423.98,43.003,3.1066
426.07,42.967,6.0864
428.17,39.974,11.139
430.26,34.654,18.936
432.35,27.987,29.987
434.45,21.026,44.317
436.54,14.733,60.893
438.63,9.618,77.948
440.72,5.8494,92.957
442.81,3.3143,103.28
444.9,1.7494,106.9
446.99,0.86031,103.08
449.07,0.39568,92.664
451.16,0.16894,77.579
453.25,0.0672,60.509
455.33,0.02502,44.043
457.42,0.00864,29.825
459.5,0.0028,18.861
461.58,0.00084339,11.119
463.67,0.00023567,6.0926
465.75,6.1758e-05,3.1206
467.83,1.5088e-05,1.4901
469.91,3.4362e-06,0.66333
471.99,7.2959e-07,0.27528
474.06,1.4557e-07,0.10701
476.14,2.6871e-08,0.03861
478.22,4.6241e-09,0.01299
