633.73,2.9805e-74,8.0771e-103,1.1242e-90,1.0813e-09,0.00013528,1.1789e-07,0.001118
633.4,4.2036e-74,1.4269e-102,1.9185e-90,1.1737e-09,0.00014241,1.451e-07,0.0012803
633.07,5.929e-74,2.5209e-102,3.2738e-90,1.2738e-09,0.00014989,1.7834e-07,0.0014641
632.73,8.3627e-74,4.4531e-102,5.586e-90,1.3824e-09,0.00015774,2.1889e-07,0.0016719
632.4,1.1795e-73,7.8655e-102,9.5297e-90,1.5001e-09,0.00016598,2.6829e-07,0.0019063
632.07,1.6637e-73,1.3892e-101,1.6256e-89,1.6276e-09,0.00017462,3.2838e-07,0.0021704
631.73,2.3466e-73,2.4532e-101,2.7725e-89,1.7658e-09,0.00018368,4.0136e-07,0.0024675
631.4,3.3099e-73,4.3318e-101,4.7279e-89,1.9155e-09,0.00019319,4.8989e-07,0.0028011
631.07,4.6687e-73,7.6483e-101,8.0615e-89,2.0776e-09,0.00020315,5.9709e-07,0.003175
630.74,6.5848e-73,1.3501e-100,1.3742e-88,2.2532e-09,0.00021359,7.2671e-07,0.0035935
630.4,9.2878e-73,2.3832e-100,2.3425e-88,2.4434e-09,0.00022454,8.8323e-07,0.0040611
630.07,1.31e-72,4.2065e-100,3.9924e-88,2.6494e-09,0.00023601,1.0719e-06,0.0045827
629.74,1.8478e-72,7.424e-100,6.8036e-88,2.8725e-09,0.00024802,1.2991e-06,0.0051636
629.4,2.6064e-72,1.3101e-99,1.1592e-87,3.1139e-09,0.00026061,1.5722e-06,0.0058092
629.07,3.6763e-72,2.3117e-99,1.9749e-87,3.3753e-09,0.00027379,1.9e-06,0.0065258
628.74,5.1854e-72,4.0784e-99,3.3639e-87,3.6582e-09,0.0002876,2.2927e-06,0.0073195
628.41,7.3135e-72,7.1939e-99,5.7286e-87,3.9644e-09,0.00030204,2.7626e-06,0.0081972
628.07,1.0316e-71,1.2689e-98,9.755e-87,4.2957e-09,0.00031717,3.324e-06,0.0091662
627.74,1.455e-71,2.238e-98,1.6609e-86,4.6542e-09,0.000333,3.9937e-06,0.010234
627.41,2.0522e-71,3.9466e-98,2.8274e-86,5.0421e-09,0.00034956,4.7913e-06,0.011409
627.07,2.8947e-71,6.959e-98,4.8124e-86,5.4616e-09,0.00036689,5.7398e-06,0.012699
626.74,4.0828e-71,1.2269e-97,8.1897e-86,5.9154e-09,0.00038501,6.866e-06,0.014113
626.41,5.7587e-71,2.1629e-97,1.3935e-85,6.4062e-09,0.00040397,8.201e-06,0.01566
626.07,8.1223e-71,3.8124e-97,2.3708e-85,6.9368e-09,0.00042378,9.7811e-06,0.017349
625.74,1.1455e-70,6.7183e-97,4.0322e-85,7.5104e-09,0.00044449,1.1648e-05,0.01919
625.41,1.6157e-70,1.1839e-96,6.8576e-85,8.1307e-09,0.00046615,1.3851e-05,0.021194
625.08,2.2788e-70,2.086e-96,1.1661e-84,8.8011e-09,0.00048877,1.6446e-05,0.02337
624.74,3.214e-70,3.6751e-96,1.9826e-84,9.5258e-09,0.00051241,1.9497e-05,0.025729
624.41,4.533e-70,6.4737e-96,3.3701e-84,1.0309e-08,0.0005371,2.308e-05,0.028281
624.08,6.3933e-70,1.1402e-95,5.7278e-84,1.1155e-08,0.00056288,2.7281e-05,0.031037
623.74,9.0169e-70,2.008e-95,9.7333e-84,1.2069e-08,0.00058981,3.2197e-05,0.034007
623.41,1.2717e-69,3.5359e-95,1.6537e-83,1.3056e-08,0.00061792,3.7941e-05,0.037202
623.08,1.7934e-69,6.2245e-95,2.8089e-83,1.4123e-08,0.00064725,4.464e-05,0.04063
622.74,2.5292e-69,1.0958e-94,4.7707e-83,1.5275e-08,0.00067786,5.2443e-05,0.044304
622.41,3.567e-69,1.9287e-94,8.1014e-83,1.6518e-08,0.00070981,6.1515e-05,0.048233
622.08,5.0304e-69,3.3943e-94,1.3755e-82,1.7861e-08,0.00074312,7.2046e-05,0.052424
621.75,7.0941e-69,5.9726e-94,2.3349e-82,1.9311e-08,0.00077787,8.4249e-05,0.056887
621.41,1.0004e-68,1.0508e-93,3.9629e-82,2.0876e-08,0.00081411,9.8366e-05,0.061629
621.08,1.4108e-68,1.8486e-93,6.7247e-82,2.2564e-08,0.00085188,0.00011467,0.066656
620.75,1.9896e-68,3.2514e-93,1.1409e-81,2.4387e-08,0.00089125,0.00013347,0.071976
620.41,2.8054e-68,5.7176e-93,1.9352e-81,2.6353e-08,0.00093228,0.0001551,0.077591
620.08,3.956e-68,1.0054e-92,3.282e-81,2.8474e-08,0.00097502,0.00017995,0.083507
619.75,5.5784e-68,1.7675e-92,5.5652e-81,3.0762e-08,0.0010195,0.00020846,0.089724
619.41,7.8661e-68,3.1071e-92,9.435e-81,3.323e-08,0.0010659,0.00024111,0.096244
619.08,1.1092e-67,5.461e-92,1.5993e-80,3.5891e-08,0.0011142,0.00027842,0.10307
618.75,1.564e-67,9.5967e-92,2.7102e-80,3.8761e-08,0.0011645,0.000321,0.11019
618.41,2.2052e-67,1.6862e-91,4.5922e-80,4.1854e-08,0.0012168,0.00036949,0.1176
618.08,3.1092e-67,2.9623e-91,7.7794e-80,4.5189e-08,0.0012712,0.00042463,0.1253
617.75,4.3836e-67,5.2028e-91,1.3175e-79,4.8782e-08,0.0013278,0.0004872,0.13328
617.42,6.1804e-67,9.1372e-91,2.231e-79,5.2655e-08,0.0013867,0.00055809,0.14152
617.08,8.7136e-67,1.6044e-90,3.7772e-79,5.6829e-08,0.001448,0.00063827,0.15003
616.75,1.2285e-66,2.8169e-90,6.3937e-79,6.1325e-08,0.0015117,0.00072878,0.15876
616.42,1.7319e-66,4.9447e-90,1.0821e-78,6.6168e-08,0.0015779,0.00083076,0.16772
616.08,2.4416e-66,8.6785e-90,1.8309e-78,7.1384e-08,0.0016467,0.00094546,0.17689
615.75,3.442e-66,1.5229e-89,3.0972e-78,7.7001e-08,0.0017182,0.0010742,0.18623
615.42,4.8521e-66,2.6719e-89,5.2383e-78,8.3049e-08,0.0017924,0.0012185,0.19572
615.09,6.8394e-66,4.6867e-89,8.8571e-78,8.956e-08,0.0018695,0.0013799,0.20534
614.75,9.641e-66,8.22e-89,1.4974e-77,9.6569e-08,0.0019496,0.00156,0.21505
614.42,1.359e-65,1.4415e-88,2.5309e-77,1.0411e-07,0.0020327,0.0017608,0.22483
